# HSK 1
你好|ni3 hao3|Hello
谢谢|xie4 xie4|Thank you
再见|zai4 jian4|Goodbye
对不起|dui4 bu4 qi3|Sorry
没关系|mei2 guan1 xi4|It doesn't matter
你好吗|ni3 hao3 ma5|How are you
我很好|wo3 hen3 hao3|I am very good
谢谢你|xie4 xie4 ni3|Thank you
他是谁|ta1 shi4 shei2|Who is he
这是什么|zhe4 shi4 shen2 me5|What is this
我是学生|wo3 shi4 xue2 sheng1|I am a student
你叫什么名字|ni3 jiao4 shen2 me5 ming2 zi4|What is your name
我叫小明|wo3 jiao4 xiao3 ming2|My name is Xiao Ming
他是我朋友|ta1 shi4 wo3 peng2 you3|He is my friend
你在哪里|ni3 zai4 na3 li3|Where are you
我在家|wo3 zai4 jia1|I am at home
今天几号|jin1 tian1 ji3 hao4|What date is today
现在几点|xian4 zai4 ji3 dian3|What time is it now
你吃了吗|ni3 chi1 le5 ma5|Have you eaten
我喜欢中国|wo3 xi3 huan1 zhong1 guo2|I like China
你多大了|ni3 duo1 da4 le5|How old are you
我二十岁|wo3 er4 shi2 sui4|I am twenty years old
你要喝水吗|ni3 yao4 he1 shui3 ma5|Do you want to drink water
我不知道|wo3 bu4 zhi1 dao4|I don't know
请坐|qing3 zuo4|Please sit down
你会说中文吗|ni3 hui4 shuo1 zhong1 wen2 ma5|Can you speak Chinese
我在学中文|wo3 zai4 xue2 zhong1 wen2|I am learning Chinese
他去学校了|ta1 qu4 xue2 xiao4 le5|He went to school
明天见|ming2 tian1 jian4|See you tomorrow
我爱你|wo3 ai4 ni3|I love you
# HSK 2
今天天气很好|jin1 tian1 tian1 qi4 hen3 hao3|The weather is very nice today
你想吃什么|ni3 xiang3 chi1 shen2 me5|What do you want to eat
我们一起去吧|wo3 men5 yi4 qi3 qu4 ba5|Let's go together
他每天跑步|ta1 mei3 tian1 pao3 bu4|He runs every day
这个多少钱|zhe4 ge5 duo1 shao3 qian2|How much does this cost
我觉得很好|wo3 jue2 de5 hen3 hao3|I think it's very good
你去过中国吗|ni3 qu4 guo4 zhong1 guo2 ma5|Have you been to China
她比我高|ta1 bi3 wo3 gao1|She is taller than me
我已经吃了|wo3 yi3 jing1 chi1 le5|I have already eaten
请你帮帮我|qing3 ni3 bang1 bang1 wo3|Please help me
外面下雨了|wai4 mian4 xia4 yu3 le5|It's raining outside
你为什么迟到|ni3 wei4 shen2 me5 chi2 dao4|Why are you late
我住在北京|wo3 zhu4 zai4 bei3 jing1|I live in Beijing
他在看电视|ta1 zai4 kan4 dian4 shi4|He is watching TV
